DATE_KEY	PRODUCT_TITLE	MAJOR_GENRE_DESC	CUSTOMER_NAME	COUNTRY_CODE	TOTAL_STREAMS
2022-01-20	GHOST TOWN	Singer/Songwriter	Spotify	AU	224
2022-01-20	GHOST TOWN	Pop	Spotify	TR	10629
2022-01-20	GHOST TOWN	Pop	Spotify	UA	2741
2022-01-27	GHOST TOWN	Singer/Songwriter	Spotify	FR	599
2022-01-27	GHOST TOWN	Pop	Spotify	JP	9757
2022-01-27	GHOST TOWN	Pop	Spotify	SV	434
2022-02-03	GHOST TOWN	Singer/Songwriter	Spotify	FR	527
2022-02-03	GHOST TOWN	Pop	Spotify	NO	280312
2022-02-03	GHOST TOWN	Pop	Spotify	IL	5203
2022-02-03	GHOST TOWN	Pop	Spotify	CL	5745
2022-02-03	GHOST TOWN	Singer/Songwriter	Spotify	SG	97
2022-02-10	GHOST TOWN	Pop	Spotify	GB	191620
2022-02-10	GHOST TOWN	Singer/Songwriter	Spotify	PL	57
2022-02-10	GHOST TOWN	Pop	Spotify	IT	26785
2022-02-10	GHOST TOWN	Pop	Spotify	CA	156387
2022-02-10	GHOST TOWN	Singer/Songwriter	Spotify	ZA	29
2022-02-10	GHOST TOWN	Singer/Songwriter	Spotify	BR	42
2022-02-10	GHOST TOWN	Singer/Songwriter	Spotify	CH	123
2022-02-10	GHOST TOWN	Pop	Spotify	PA	1028
2022-02-17	GHOST TOWN	Pop	Spotify	PH	73798
2022-02-17	GHOST TOWN	Singer/Songwriter	Spotify	CH	112
2022-02-17	GHOST TOWN	Singer/Songwriter	Spotify	GR	44
2022-02-17	GHOST TOWN	Pop	Spotify	CL	5900
2022-02-17	GHOST TOWN	Pop	Spotify	VN	5848
2022-02-17	GHOST TOWN	Singer/Songwriter	Spotify	PA	1
2022-02-17	GHOST TOWN	Pop	Spotify	SV	578
2022-01-27	GHOST TOWN	Pop	Spotify	JM	844
2022-01-20	GHOST TOWN	Pop	Spotify	KE	2576
2022-02-10	GHOST TOWN	Pop	Spotify	MT	1633
2022-02-24	GHOST TOWN	Pop	Spotify	FI	34966
2022-02-24	GHOST TOWN	Pop	Spotify	UA	2480
2022-02-24	GHOST TOWN	Singer/Songwriter	Spotify	GR	15
2022-02-24	GHOST TOWN	Pop	Spotify	RO	5179
2022-02-24	GHOST TOWN	Pop	Spotify	AT	18770
2022-02-24	GHOST TOWN	Pop	Spotify	AL	329
2022-03-03	GHOST TOWN	Pop	Spotify	IE	18555
2021-12-09	GHOST TOWN	Pop	Spotify	DE	326216
2021-12-16	GHOST TOWN	Pop	Spotify	DZ	2369
2021-12-16	GHOST TOWN	Pop	Spotify	CZ	16965
2022-01-06	GHOST TOWN	Pop	Spotify	GR	7567
2021-11-04	GHOST TOWN	Pop	Spotify	MN	712
2022-01-13	GHOST TOWN	Pop	Spotify	DE	268535
2022-01-13	GHOST TOWN	Pop	Spotify	RO	6320
2022-01-20	GHOST TOWN	Pop	Spotify	ES	24938
2022-01-20	GHOST TOWN	Pop	Spotify	CO	3092
2022-01-20	GHOST TOWN	Pop	Spotify	GR	5808
2022-01-20	GHOST TOWN	Singer/Songwriter	Spotify	GR	16
2022-01-20	GHOST TOWN	Pop	Spotify	MY	33847
2022-01-27	GHOST TOWN	Singer/Songwriter	Spotify	ES	102
2022-01-27	GHOST TOWN	Singer/Songwriter	Spotify	TH	45
2022-01-27	GHOST TOWN	Singer/Songwriter	Spotify	RU	19
2022-02-03	GHOST TOWN	Singer/Songwriter	Spotify	LV	6
2022-02-03	GHOST TOWN	Pop	Spotify	MA	2199
2022-02-10	GHOST TOWN	Pop	Spotify	FI	38560
2022-02-10	GHOST TOWN	Singer/Songwriter	Spotify	IN	148
2022-02-10	GHOST TOWN	Pop	Spotify	BG	1379
2022-02-10	GHOST TOWN	Pop	Spotify	VE	772
2022-02-17	GHOST TOWN	Pop	Spotify	TW	11354
2022-02-17	GHOST TOWN	Pop	Spotify	AT	20916
2022-02-17	GHOST TOWN	Singer/Songwriter	Spotify	NO	314
