DATE_KEY	PRODUCT_TITLE	MAJOR_GENRE_DESC	CUSTOMER_NAME	REGION	COUNTRY_CODE	CURRENT_POSITION
2021-12-08	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	NL	6
2021-12-09	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	NO	7
2021-11-15	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	NO	12
2022-02-20	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	NO	26
2022-01-24	GHOST TOWN	Pop	Shazam	ASIA PACIFIC	NZ	44
2021-11-14	GHOST TOWN	Pop	Shazam	ASIA PACIFIC	NZ	8
2022-02-09	GHOST TOWN	Pop	Shazam	ASIA PACIFIC	NZ	107
2022-02-17	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	NO	32
2022-02-05	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	NO	21
2022-01-20	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	NO	14
2021-11-24	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	PT	75
2021-11-28	GHOST TOWN	Pop	Shazam	ASIA PACIFIC	NZ	5
2022-02-04	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	PT	50
2022-01-10	GHOST TOWN	Pop	Shazam	ASIA PACIFIC	NZ	20
2021-11-18	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	PL	17
2022-02-20	GHOST TOWN	Pop	Shazam	CONTINENTAL EUROPE	PT	114
2021-11-11	GHOST TOWN	Pop	Spotify	LATIN AMERICA	CR	36
2021-11-11	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	CY	125
2021-02-25	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	DK	77
2021-11-18	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	DK	15
2021-12-02	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	DK	60
2021-03-04	GHOST TOWN	Pop	Spotify	CONTINENTAL EUROPE	DK	77
