DATE_KEY	CHART_KEY	PRODUCT_KEY	MARKET_KEY	CUSTOMER_KEY	COUNTRY_KEY	GENRE_KEY	TITLE_ID	LABEL	ALT_TITLE_ID	TITLE	TITLE_UNACCENTED	ARTIST_NAME	ARTIST_NAME_UNACCENTED	CUSTOMER_SRP	CUSTOMER_CURRENCY	CUSTOMER_RELEASE_DATE	CURRENT_POSITION	LAST_WEEK_POSITION	LAST_TWO_WEEK_POSITION	PEAK_POSITION	WEEKS_ON_CHART	STREAM_COUNT	THIS_WEEK_TOTAL_ACTIVITY	LAST_WEEK_TOTAL_ACTIVITY	PERCENTAGE_CHANGE_THIS_WEEK_VS_LAST_WEEK	THIS_WEEK_ALBUM_SALES	THIS_WEEK_SONG_SALES	LAST_WEEK_ALBUM_SALES	LAST_WEEK_SONG_SALES	THIS_WEEK_STREAMING_ACTIVITY	ACTIVITY_TO_DATE	CREATED_TIMESTAMP	PLAYLIST_KEY	PRODUCT_IS_CATALOG	PROJECT_IS_ON_ROSTER	PROJECT_IS_CATALOG	REP_OWNER_KEY	WEA_LABEL_KEY	FINANCIAL_KEY	MARKETING_OWNER_KEY	DISTRIBUTOR_KEY	LSL_KEY	PROJECT_KEY	COUNTRY_CODE	CHART_KEY	ACCOUNT	CHART_ID	CHART_NAME	CHART_URI	CHART_TYPE	CHART_SUBTYPE	FREQUENCY	ETL_HASH_TEXT	CREATED_TIMESTAMP	UPDATED_TIMESTAMP	ACTIVE_FLG	CURRENT_FLG	CREATED_PRCS_ID	CREATED_BY	CREATED_DTTM	MODIFIED_PRCS_ID	MODIFIED_BY	MODIFIED_DTTM
2022-02-03	180252	10392183	-1	9	585	-1		N/A	N/A	GHOST TOWN	GHOST TOWN	Benson Boone	Benson Boone				163					342605										2022-02-11 02:55:16.171	-1	N	Y	N	1005143	-1	-1	1004681	1006798	1003378	1565916	FR	180252	Spotify	4f5701a3f590fd9464ea24c200a354ab	Top 200	Not Available	Songs	DSP	Weekly	8d9fdfbd61b78d5ba9d29c89c3d3d418	2019-10-08 09:16:36.209		Y	Y	151915	DF_BATCH_USER_PROD	2021-11-18 01:36:10.174	151915	DF_BATCH_USER_PROD	2021-11-18 01:36:10.174
2022-02-03	180252	10392183	-1	9	528	-1		N/A	N/A	GHOST TOWN	GHOST TOWN	Benson Boone	Benson Boone				27					271692										2022-02-11 02:55:16.171	-1	N	Y	N	1005143	-1	-1	1004681	1006798	1003378	1565916	NO	180252	Spotify	4f5701a3f590fd9464ea24c200a354ab	Top 200	Not Available	Songs	DSP	Weekly	8d9fdfbd61b78d5ba9d29c89c3d3d418	2019-10-08 09:16:36.209		Y	Y	151915	DF_BATCH_USER_PROD	2021-11-18 01:36:10.174	151915	DF_BATCH_USER_PROD	2021-11-18 01:36:10.174
2022-02-03	180252	10392183	-1	9	530	-1		N/A	N/A	GHOST TOWN	GHOST TOWN	Benson Boone	Benson Boone				38					161517										2022-02-11 02:55:16.171	-1	N	Y	N	1005143	-1	-1	1004681	1006798	1003378	1565916	DK	180252	Spotify	4f5701a3f590fd9464ea24c200a354ab	Top 200	Not Available	Songs	DSP	Weekly	8d9fdfbd61b78d5ba9d29c89c3d3d418	2019-10-08 09:16:36.209		Y	Y	151915	DF_BATCH_USER_PROD	2021-11-18 01:36:10.174	151915	DF_BATCH_USER_PROD	2021-11-18 01:36:10.174
2022-02-03	180252	10392183	-1	9	596	-1		N/A	N/A	GHOST TOWN	GHOST TOWN	Benson Boone	Benson Boone				54					469974										2022-02-11 02:55:16.171	-1	N	Y	N	1005143	-1	-1	1004681	1006798	1003378	1565916	NL	180252	Spotify	4f5701a3f590fd9464ea24c200a354ab	Top 200	Not Available	Songs	DSP	Weekly	8d9fdfbd61b78d5ba9d29c89c3d3d418	2019-10-08 09:16:36.209		Y	Y	151915	DF_BATCH_USER_PROD	2021-11-18 01:36:10.174	151915	DF_BATCH_USER_PROD	2021-11-18 01:36:10.174
2022-02-03	180252	10392183	-1	9	625	-1		N/A	N/A	GHOST TOWN	GHOST TOWN	Benson Boone	Benson Boone				160					41065										2022-02-11 02:55:16.171	-1	N	Y	N	1005143	-1	-1	1004681	1006798	1003378	1565916	FI	180252	Spotify	4f5701a3f590fd9464ea24c200a354ab	Top 200	Not Available	Songs	DSP	Weekly	8d9fdfbd61b78d5ba9d29c89c3d3d418	2019-10-08 09:16:36.209		Y	Y	151915	DF_BATCH_USER_PROD	2021-11-18 01:36:10.174	151915	DF_BATCH_USER_PROD	2021-11-18 01:36:10.174
2021-11-11	180252	10392183	-1	9	615	-1		N/A	N/A	GHOST TOWN	GHOST TOWN	Benson Boone	Benson Boone				79					560547										2021-12-01 03:37:21.222	-1	N	Y	N	1005143	-1	-1	1004681	1006798	1003378	1565916	GB	180252	Spotify	4f5701a3f590fd9464ea24c200a354ab	Top 200	Not Available	Songs	DSP	Weekly	8d9fdfbd61b78d5ba9d29c89c3d3d418	2019-10-08 09:16:36.209		Y	Y	151915	DF_BATCH_USER_PROD	2021-11-18 01:36:10.174	151915	DF_BATCH_USER_PROD	2021-11-18 01:36:10.174
2021-11-18	180252	10392183	-1	9	605	-1		N/A	N/A	GHOST TOWN	GHOST TOWN	Benson Boone	Benson Boone				169					285274										2021-12-01 03:37:21.222	-1	N	Y	N	1005143	-1	-1	1004681	1006798	1003378	1565916	ID	180252	Spotify	4f5701a3f590fd9464ea24c200a354ab	Top 200	Not Available	Songs	DSP	Weekly	8d9fdfbd61b78d5ba9d29c89c3d3d418	2019-10-08 09:16:36.209		Y	Y	151915	DF_BATCH_USER_PROD	2021-11-18 01:36:10.174	151915	DF_BATCH_USER_PROD	2021-11-18 01:36:10.174
2021-11-25	180252	10392183	-1	9	544	-1		N/A	N/A	GHOST TOWN	GHOST TOWN	Benson Boone	Benson Boone				139					43325										2021-12-01 03:37:21.222	-1	N	Y	N	1005143	-1	-1	1004681	1006798	1003378	1565916	AT	180252	Spotify	4f5701a3f590fd9464ea24c200a354ab	Top 200	Not Available	Songs	DSP	Weekly	8d9fdfbd61b78d5ba9d29c89c3d3d418	2019-10-08 09:16:36.209		Y	Y	151915	DF_BATCH_USER_PROD	2021-11-18 01:36:10.174	151915	DF_BATCH_USER_PROD	2021-11-18 01:36:10.174
2021-11-11	180252	10392183	-1	9	530	-1		N/A	N/A	GHOST TOWN	GHOST TOWN	Benson Boone	Benson Boone				11					318272										2021-12-01 03:37:21.222	-1	N	Y	N	1005143	-1	-1	1004681	1006798	1003378	1565916	DK	180252	Spotify	4f5701a3f590fd9464ea24c200a354ab	Top 200	Not Available	Songs	DSP	Weekly	8d9fdfbd61b78d5ba9d29c89c3d3d418	2019-10-08 09:16:36.209		Y	Y	151915	DF_BATCH_USER_PROD	2021-11-18 01:36:10.174	151915	DF_BATCH_USER_PROD	2021-11-18 01:36:10.174
2021-11-04	180252	10392183	-1	9	705	-1		N/A	N/A	GHOST TOWN	GHOST TOWN	Benson Boone	Benson Boone				28					14064										2021-12-01 03:37:21.222	-1	N	Y	N	1005143	-1	-1	1004681	1006798	1003378	1565916	IS	180252	Spotify	4f5701a3f590fd9464ea24c200a354ab	Top 200	Not Available	Songs	DSP	Weekly	8d9fdfbd61b78d5ba9d29c89c3d3d418	2019-10-08 09:16:36.209		Y	Y	151915	DF_BATCH_USER_PROD	2021-11-18 01:36:10.174	151915	DF_BATCH_USER_PROD	2021-11-18 01:36:10.174
