DATE_KEY	PRODUCT_TITLE	MAJOR_GENRE_DESC	CUSTOMER_NAME	COUNTRY_CODE	TOTAL_STREAMS
2021-12-31	GHOST TOWN	Pop	Spotify	NP	6857
2021-10-31	GHOST TOWN	Pop	Spotify	AL	792
2021-11-30	GHOST TOWN	Pop	Spotify	TG	312
2021-12-31	GHOST TOWN	Pop	Spotify	HT	905
2021-12-31	GHOST TOWN	Pop	Spotify	KG	1647
2021-11-30	GHOST TOWN	Pop	Spotify	UG	5346
2021-12-31	GHOST TOWN	Pop	Spotify	FR	523840
2021-11-30	GHOST TOWN	Pop	Spotify	UY	13133
2021-11-30	GHOST TOWN	Pop	Spotify	CH	255514
2021-10-31	GHOST TOWN	Pop	Spotify	EE	7689
2021-12-31	GHOST TOWN	Pop	Spotify	TR	68652
2021-11-30	GHOST TOWN	Pop	Spotify	ID	1026197
2021-10-31	GHOST TOWN	Pop	Spotify	LT	7465
2021-11-30	GHOST TOWN	Pop	Spotify	PK	13115
2021-12-31	GHOST TOWN	Pop	Spotify	BN	7386
2021-10-31	GHOST TOWN	Pop	Spotify	MR	25
2021-12-31	GHOST TOWN	Pop	Spotify	KW	4908
2021-10-31	GHOST TOWN	Pop	Spotify	KM	1
2021-12-31	GHOST TOWN	Pop	Spotify	RW	1103
2021-12-31	GHOST TOWN	Pop	Spotify	LA	830
2021-10-31	GHOST TOWN	Pop	Spotify	BF	39
2021-10-31	GHOST TOWN	Pop	Spotify	AU	438336
2021-12-31	GHOST TOWN	Pop	Spotify	IS	26363
2021-10-31	GHOST TOWN	Pop	Spotify	BB	152
2021-11-30	GHOST TOWN	Pop	Spotify	BA	3471
2021-11-30	GHOST TOWN	Pop	Spotify	LU	19992
2021-11-30	GHOST TOWN	Pop	Spotify	AO	1161
2021-11-30	GHOST TOWN	Pop	Spotify	MK	4820
2021-12-31	GHOST TOWN	Pop	Spotify	FJ	1549
2021-10-31	GHOST TOWN	Pop	Spotify	JO	1532
2021-11-30	GHOST TOWN	Pop	Spotify	DJ	52
2021-10-31	GHOST TOWN	Pop	Spotify	CI	93
2021-10-31	GHOST TOWN	Pop	Spotify	GW	3
2021-10-31	GHOST TOWN	Pop	Spotify	NI	498
2021-12-31	GHOST TOWN	Pop	Spotify	TH	72399
2021-10-31	GHOST TOWN	Pop	Spotify	GT	3660
2021-10-31	GHOST TOWN	Pop	Spotify	CR	4837
2021-12-31	GHOST TOWN	Pop	Spotify	BE	565932
2021-10-31	GHOST TOWN	Pop	Spotify	AD	330
2021-10-31	GHOST TOWN	Pop	Spotify	NG	3021
2021-12-31	GHOST TOWN	Pop	Spotify	PW	77
2021-10-31	GHOST TOWN	Pop	Spotify	GA	24
2021-11-30	GHOST TOWN	Pop	Spotify	HU	74393
2021-10-31	GHOST TOWN	Pop	Spotify	AE	8656
2021-11-30	GHOST TOWN	Pop	Spotify	AE	41063
2021-11-30	GHOST TOWN	Pop	Spotify	EG	20588
2021-10-31	GHOST TOWN	Pop	Spotify	BH	894
2021-12-31	GHOST TOWN	Pop	Spotify	UY	8065
2021-12-31	GHOST TOWN	Pop	Spotify	NI	2486
2021-12-31	GHOST TOWN	Pop	Spotify	BT	2053
2021-11-30	GHOST TOWN	Pop	Spotify	LY	338
2021-10-31	GHOST TOWN	Pop	Spotify	DK	567603
2021-12-31	GHOST TOWN	Pop	Spotify	NG	17596
2021-11-30	GHOST TOWN	Pop	Spotify	CW	482
2021-11-30	GHOST TOWN	Pop	Spotify	PG	815
2021-10-31	GHOST TOWN	Pop	Spotify	PW	50
2021-10-31	GHOST TOWN	Pop	Spotify	QA	2289
2021-11-30	GHOST TOWN	Pop	Spotify	KN	32
2021-12-31	GHOST TOWN	Pop	Spotify	GN	63
2021-11-30	GHOST TOWN	Pop	Spotify	GB	2123637
2021-11-30	GHOST TOWN	Pop	Spotify	GH	5347
2021-10-31	GHOST TOWN	Pop	Spotify	KR	4988
2021-12-31	GHOST TOWN	Pop	Spotify	GD	196
2021-12-31	GHOST TOWN	Pop	Spotify	SM	35
2021-12-31	GHOST TOWN	Pop	Spotify	EE	14858
2021-11-30	GHOST TOWN	Pop	Spotify	MR	190
2021-10-31	GHOST TOWN	Pop	Spotify	GB	882582
2021-10-31	GHOST TOWN	Pop	Spotify	SI	5346
2021-12-31	GHOST TOWN	Pop	Spotify	DZ	9957
2021-11-30	GHOST TOWN	Pop	Spotify	NP	8668
2021-11-30	GHOST TOWN	Pop	Spotify	CV	462
2021-10-31	GHOST TOWN	Pop	Spotify	PL	85125
2021-10-31	GHOST TOWN	Pop	Spotify	IE	137802
2021-10-31	GHOST TOWN	Pop	Spotify	PA	3320
2021-12-31	GHOST TOWN	Pop	Spotify	MK	2820
2021-12-31	GHOST TOWN	Pop	Spotify	ZW	1765
2021-12-31	GHOST TOWN	Pop	Spotify	AZ	2241
2021-11-30	GHOST TOWN	Pop	Spotify	LK	9861
2021-11-30	GHOST TOWN	Pop	Spotify	SN	592
2021-12-31	GHOST TOWN	Pop	Spotify	US	5673791
2021-12-31	GHOST TOWN	Pop	Spotify	RO	35277
2021-11-30	GHOST TOWN	Pop	Spotify	MY	309377
2021-10-31	GHOST TOWN	Pop	Spotify	CL	17784
2021-10-31	GHOST TOWN	Pop	Spotify	HR	4328
2021-10-31	GHOST TOWN	Pop	Spotify	EC	4199
2021-11-30	GHOST TOWN	Pop	Spotify	SV	7887
2021-10-31	GHOST TOWN	Pop	Spotify	ZM	422
2021-11-30	GHOST TOWN	Pop	Spotify	RW	1243
2021-11-30	GHOST TOWN	Pop	Spotify	HN	8069
2021-10-31	GHOST TOWN	Pop	Spotify	DZ	2194
2021-12-31	GHOST TOWN	Pop	Spotify	GH	4322
2021-12-31	GHOST TOWN	Pop	Spotify	LI	954
2021-10-31	GHOST TOWN	Pop	Spotify	BR	81444
2021-11-30	GHOST TOWN	Pop	Spotify	BI	166
2021-10-31	GHOST TOWN	Pop	Spotify	DJ	9
2021-12-31	GHOST TOWN	Pop	Spotify	PG	614
2021-12-31	GHOST TOWN	Pop	Spotify	XK	809
2021-11-30	GHOST TOWN	Pop	Spotify	CD	24
2021-11-30	GHOST TOWN	Pop	Spotify	NA	2446
2021-12-31	GHOST TOWN	Pop	Spotify	BH	2828
2021-11-30	GHOST TOWN	Pop	Spotify	BO	11442
2021-10-31	GHOST TOWN	Pop	Spotify	MK	560
2021-11-30	GHOST TOWN	Pop	Spotify	ME	807
2021-10-31	GHOST TOWN	Pop	Spotify	BE	159959
2021-10-31	GHOST TOWN	Pop	Spotify	SE	878877
