DATE_KEY	PRODUCT_TITLE	MAJOR_GENRE_DESC	CUSTOMER_NAME	COUNTRY_KEY	DAYS_ON_CHART	COUNTRY_CODE
2022-01-23	GHOST TOWN	Pop	Apple Music	615		GB
2022-01-17	GHOST TOWN	Pop	Apple Music	744		BT
2022-02-15	GHOST TOWN	Pop	Apple Music	653		SN
2022-03-01	GHOST TOWN	Pop	Apple Music	558		US
2022-01-28	GHOST TOWN	Pop	Apple Music	713		GY
2022-02-02	GHOST TOWN	Pop	Apple Music	738		CI
2022-03-03	GHOST TOWN	Pop	Apple Music	538		ZA
2021-12-27	GHOST TOWN	Pop	Apple Music	538		ZA
2021-12-27	GHOST TOWN	Pop	Apple Music	552		LK
2021-12-27	GHOST TOWN	Pop	Apple Music	570		SK
2021-10-20	GHOST TOWN	Pop	Apple Music	608		DE
2021-10-20	GHOST TOWN	Pop	Apple Music	578		KH
2022-02-03	GHOST TOWN	Pop	Apple Music	524		TT
2022-01-13	GHOST TOWN	Pop	Apple Music	624		CY
2021-12-06	GHOST TOWN	Pop	Apple Music	531		CZ
2021-12-06	GHOST TOWN	Pop	Apple Music	578		KH
2022-02-16	GHOST TOWN	Pop	Apple Music	625		FI
2021-12-12	GHOST TOWN	Pop	Apple Music	565		SG
2021-12-02	GHOST TOWN	Pop	Apple Music	581		GR
2021-10-22	GHOST TOWN	Pop	Apple Music	524		TT
2022-01-17	GHOST TOWN	Pop	Apple Music	578		KH
2022-01-25	GHOST TOWN	Pop	Apple Music	615		GB
2022-02-19	GHOST TOWN	Pop	Apple Music	660		SB
2021-11-26	GHOST TOWN	Pop	Apple Music	622		PG
2021-11-26	GHOST TOWN	Pop	Apple Music	699		KW
2021-11-26	GHOST TOWN	Pop	Apple Music	713		GY
2021-11-26	GHOST TOWN	Pop	Apple Music	744		BT
2022-02-03	GHOST TOWN	Pop	Apple Music	587		IE
2021-11-18	GHOST TOWN	Pop	Apple Music	570		SK
2022-01-21	GHOST TOWN	Pop	Apple Music	662		RS
2022-02-13	GHOST TOWN	Pop	Apple Music	570		SK
2022-01-05	GHOST TOWN	Pop	Apple Music	587		IE
2022-01-13	GHOST TOWN	Pop	Apple Music	608		DE
2021-12-27	GHOST TOWN	Pop	Apple Music	699		KW
2022-01-25	GHOST TOWN	Pop	Apple Music	532		MT
2021-10-24	GHOST TOWN	Pop	Apple Music	527		UG
2021-10-24	GHOST TOWN	Pop	Apple Music	594		BG
2021-12-01	GHOST TOWN	Pop	Apple Music	594		BG
2021-11-07	GHOST TOWN	Pop	Apple Music	544		AT
2022-01-08	GHOST TOWN	Pop	Apple Music	624		CY
2022-01-16	GHOST TOWN	Pop	Apple Music	596		NL
2022-02-02	GHOST TOWN	Pop	Apple Music	555		BH
2022-02-01	GHOST TOWN	Pop	Apple Music	689		MG
2022-02-16	GHOST TOWN	Pop	Apple Music	587		IE
2022-01-10	GHOST TOWN	Pop	Apple Music	590		KN
2022-02-04	GHOST TOWN	Pop	Apple Music	517		AI
2022-02-14	GHOST TOWN	Pop	Apple Music	518		BZ
2022-01-08	GHOST TOWN	Pop	Apple Music	579		PT
2021-12-08	GHOST TOWN	Pop	Apple Music	689		MG
2021-12-08	GHOST TOWN	Pop	Apple Music	565		SG
2021-11-17	GHOST TOWN	Pop	Apple Music	551		LT
2022-02-26	GHOST TOWN	Pop	Apple Music	585		FR
2021-11-23	GHOST TOWN	Pop	Apple Music	699		KW
2022-01-18	GHOST TOWN	Pop	Apple Music	685		MM
2022-02-25	GHOST TOWN	Pop	Apple Music	659		SC
2021-12-07	GHOST TOWN	Pop	Apple Music	513		KY
2021-11-12	GHOST TOWN	Pop	Apple Music	703		JM
2021-12-21	GHOST TOWN	Pop	Apple Music	559		ES
2021-12-20	GHOST TOWN	Pop	Apple Music	588		CH
2022-01-01	GHOST TOWN	Pop	Apple Music	561		SA
2022-01-14	GHOST TOWN	Pop	Apple Music	570		SK
2022-02-14	GHOST TOWN	Pop	Apple Music	617		JO
2021-12-07	GHOST TOWN	Pop	Apple Music	536		EG
2022-02-04	GHOST TOWN	Pop	Apple Music	524		TT
2021-11-05	GHOST TOWN	Pop	Apple Music	570		SK
2021-10-23	GHOST TOWN	Pop	Apple Music	677		NA
2021-12-29	GHOST TOWN	Pop	Apple Music	516		AE
2021-12-29	GHOST TOWN	Pop	Apple Music	586		NG
2021-12-29	GHOST TOWN	Pop	Apple Music	703		JM
2021-12-08	GHOST TOWN	Pop	Spotify	546		KR
2021-11-09	GHOST TOWN	Pop	Spotify	693		MA
2021-11-22	GHOST TOWN	Pop	Spotify	693		MA
2021-11-27	GHOST TOWN	Pop	Spotify	544		AT
2022-01-31	GHOST TOWN	Pop	Apple	522		BE
2022-02-08	GHOST TOWN	Pop	Apple	610		CA
2021-12-20	GHOST TOWN	Pop	Apple	522		BE
2021-12-10	GHOST TOWN	Pop	Spotify	565		SG
2021-11-09	GHOST TOWN	Pop	Spotify	596		NL
2021-11-26	GHOST TOWN	Pop	Apple	549		NZ
2022-01-02	GHOST TOWN	Pop	Apple Music	513		KY
2022-01-21	GHOST TOWN	Pop	Apple Music	599		PL
2022-02-08	GHOST TOWN	Pop	Apple Music	615		GB
2022-02-07	GHOST TOWN	Pop	Apple Music	565		SG
2022-02-10	GHOST TOWN	Pop	Apple Music	543		SE
2022-01-24	GHOST TOWN	Pop	Apple Music	524		TT
2022-02-26	GHOST TOWN	Pop	Apple Music	628		YE
2021-12-02	GHOST TOWN	Pop	Apple Music	625		FI
2022-02-12	GHOST TOWN	Pop	Apple Music	523		SI
2021-10-24	GHOST TOWN	Pop	Apple Music	587		IE
2021-10-24	GHOST TOWN	Pop	Apple Music	617		JO
2021-11-26	GHOST TOWN	Pop	Apple Music	730		DZ
2022-01-26	GHOST TOWN	Pop	Apple Music	599		PL
2022-02-04	GHOST TOWN	Pop	Apple Music	522		BE
2022-01-08	GHOST TOWN	Pop	Apple Music	596		NL
2022-01-06	GHOST TOWN	Pop	Apple Music	571		LU
2021-12-01	GHOST TOWN	Pop	Apple Music	566		LV
2022-01-06	GHOST TOWN	Pop	Apple Music	546		KR
2022-01-22	GHOST TOWN	Pop	Apple Music	544		AT
2022-01-10	GHOST TOWN	Pop	Apple Music	583		EE
