PRODUCT_TITLE	MAJOR_GENRE_DESC	CUSTOMER_NAME	COUNTRY_CODE	TOTAL_STREAMS
La isla del amor (feat. Maki)	World Music	Spotify	AD	1104
Wasted Love (feat. Lagique)	Electronic	Spotify	AD	1103
I Say a Little Prayer	R&B	Spotify	AD	1098
Roto y Elegante	Pop	Spotify	AD	1093
The Best	Pop	Spotify	AD	1092
Me Rehúso	Latin	Spotify	AD	1083
7 Lágrimas	Pop	Spotify	AD	1080
Sueño (con Pablo Alborán)	Pop	Spotify	AD	1062
Black Summer	Alternative	Spotify	AD	1057
It Must Have Been Love	Pop	Spotify	AD	1047
Levitating	Pop	Spotify	AD	1045
Kings & Queens	Pop	Spotify	AD	1044
In the End	Alternative	Spotify	AD	1039
360	Latin	Spotify	AD	1037
Crazy	Pop	Spotify	AD	1036
Pan y mantequilla	Pop	Spotify	AD	1035
Stand by Me	Rock	Spotify	AD	1035
Life Goes On	Alternative	Spotify	AD	1032
When I Was Your Man	Pop	Spotify	AD	1023
We're Good	Pop	Spotify	AD	1018
Locked out of Heaven	Pop	Spotify	AD	1016
Animal	Rap/Hip Hop	Spotify	AD	1014
Forever Young	Pop	Spotify	AD	1013
Higher Power	Rap/Hip Hop	Spotify	AD	1012
A Thousand Years	Pop	Spotify	AD	1004
Indios y Vaqueros	Pop	Spotify	AD	1002
You're Beautiful	Pop	Spotify	AD	997
La gent que estimo	Pop	Spotify	AD	987
Pero a tu lado	Pop	Spotify	AD	987
One Night	Pop	Spotify	AD	982
Paradise	Alternative	Spotify	AD	979
Si por mi fuera	Pop	Spotify	AD	977
Mañana	Pop	Spotify	AD	977
Quiero tener tu presencia	Pop	Spotify	AD	977
34 Amor y Mafia	Reggaeton	Spotify	AD	974
Antes de que cuente diez	Pop	Spotify	AD	969
7 Years	Pop	Spotify	AD	967
Lo siento	Pop	Spotify	AD	961
2002	Pop	Spotify	AD	960
Elefants	Pop	Spotify	AD	955
Tan Bonita	Latin Pop	Spotify	AD	955
Flaca	Pop	Spotify	AD	955
Californication	Alternative	Spotify	AD	925
Soldadito de Hierro	Pop	Spotify	AD	922
Notion	Alternative Rock	Spotify	AD	918
Monster	Dance	Spotify	AD	918
Reproches	Hip Hop	Spotify	AD	917
If You Really Love Me (How Will I Know)	Dance	Spotify	AD	917
Cadillac solitario	Pop	Spotify	AD	914
Hurricane	Electronic	Spotify	AD	911
Solamente tú	Pop	Spotify	AD	911
Me equivocaría otra vez	Pop	Spotify	AD	910
Forever Alone	Latin	Spotify	AD	892
Let Somebody Go	Alternative	Spotify	AD	889
Dreams	Rock	Spotify	AD	888
Calle de la Llorería	Alternative	Spotify	AD	888
Ojalá	Pop	Spotify	AD	880
Fever	Dance	Spotify	AD	879
Casualidad	Latin Pop	Spotify	AD	877
Freaks	Pop	Spotify	AD	873
La Llamada	Latin	Spotify	AD	871
Devuélveme a mi chica	Pop	Spotify	AD	864
Stressed Out	Alternative	Spotify	AD	859
Snow (Hey Oh)	Alternative	Spotify	AD	858
Sexy Bitch (feat. Akon)	Electronica	Spotify	AD	856
A fuego lento	Pop	Spotify	AD	856
Song 2	Rock	Spotify	AD	851
Fly Away	Alternative	Spotify	AD	851
Ella Remix (feat. alPeDue)	Rap/Hip Hop	Spotify	AD	849
Castillos de arena	Pop	Spotify	AD	849
Emiliana	Afro Pop	Spotify	AD	848
Afterglow	Pop	Spotify	AD	845
Ella	Pop	Spotify	AD	844
Cuando me siento bien	Pop	Spotify	AD	841
Super Gremlin	Rap/Hip Hop	Spotify	AD	840
Symphony (feat. Zara Larsson)	Dance	Spotify	AD	840
What's Love Got to Do with It	Pop	Spotify	AD	840
Lost on You	Alternative	Spotify	AD	838
Ma Vie (feat. Yay)	Electronic	Spotify	AD	835
Numb	Alternative	Spotify	AD	835
Jump	Pop	Spotify	AD	831
La Grange	Pop	Spotify	AD	827
Stairway to Heaven	Rock	Spotify	AD	826
TITAN	Latin Tropical	Spotify	AD	825
Feel Good Inc.	Alternative	Spotify	AD	823
Happier	Pop	Spotify	AD	815
Y volar (con los Caligaris)	World Music	Spotify	AD	813
Another Day in Paradise	Pop	Spotify	AD	812
Smokin Out The Window	R&B	Spotify	AD	809
PAM	Latin	Spotify	AD	807
She Doesn't Mind	Pop	Spotify	AD	805
Dembow	Latin	Spotify	AD	801
New Rules	Pop	Spotify	AD	797
Bando Boyz Free 3	Latin	Spotify	AD	796
House of the Rising Sun	Pop	Spotify	AD	796
Move Your Body	Dance	Spotify	AD	792
Quien TV Remix	Latin	Spotify	AD	790
Dramas y comedias	Electronica	Spotify	AD	790
These Days (feat. Jess Glynne, Macklemore & Dan Caplen)	Dance	Spotify	AD	786
Tú No Eras Así	Latin	Spotify	AD	786
Dancing In The Moonlight (feat. NEIMY)	Pop	Spotify	AD	786
Down for Love	Pop	Spotify	AD	782
Me basta con mirarte	Hip Hop	Spotify	AD	780
El aire de la calle	Pop	Spotify	AD	780
Enchochado de Ti	Latin	Spotify	AD	779
Como un burro amarrado en la puerta del baile	Pop	Spotify	AD	778
Clocks	Alternative	Spotify	AD	777
Bailando	Pop	Spotify	AD	773
Sweet but Psycho	Pop	Spotify	AD	772
Chica de ayer	Pop	Spotify	AD	772
Beautiful People (feat. Khalid)	Pop	Spotify	AD	771
Hymn for the Weekend	Alternative	Spotify	AD	769
Je veux	Pop	Spotify	AD	768
Paranoid	Pop	Spotify	AD	767
Malamanera	Rap/Hip Hop	Spotify	AD	765
Por Eso Vine	Latin	Spotify	AD	765
Llamando a la tierra	Pop	Spotify	AD	761
Al Punto de Sal	Pop	Spotify	AD	760
In the night	Pop	Spotify	AD	756
No me lo creo RMX	Latin Pop	Spotify	AD	749
Attention	Pop	Spotify	AD	748
Basket Case	Pop	Spotify	AD	747
Swim	Alternative	Spotify	AD	744
Heroes	Pop	Spotify	AD	744
Agua	Latin	Spotify	AD	743
